method,real_path,raw_pattern,normalized_pattern,definition_file,definition_line,usage_count,usage_files,triage
POST,/rest/quality/a/:param/api/case/scenarios ,${CASE_URL(aid)}/scenarios ,${CASE_URL(aid)}/scenarios ,src/service/Api/ApiCase/index.ts,40,1,src/service/Api/ApiCase/index.ts,
POST,/rest/quality/a/:param/api/case/stage,${CASE_URL(aid)}/stage,${CASE_URL(aid)}/stage,src/service/Api/ApiCase/index.ts,68,1,src/service/Api/ApiCase/index.ts,
POST,/rest/quality/a/:param/api/edition/activate,${scoped(options.appId)}/api/edition/activate,${scoped(options.appId)}/api/edition/activate,src/service/Api/Edition/index.ts,53,1,src/service/Api/Edition/index.ts,
POST,/rest/quality/a/:param/api/edition/list,${scoped(options.appId)}/api/edition/list,${scoped(options.appId)}/api/edition/list,src/service/Api/Edition/index.ts,41,1,src/service/Api/Edition/index.ts,
POST,/rest/quality/a/:param/api/env/setting/save,${ENV_URL(aid)}/save,${ENV_URL(aid)}/save,src/service/Api/Env/index.ts,32,1,src/service/Api/Env/index.ts,
POST,/rest/quality/a/:param/api/report/getTempUrl,${QUALITY_URL(appId)}/api/report/getTempUrl,${QUALITY_URL(appId)}/api/report/getTempUrl,src/service/Api/TestScenarioExecute/index.ts,120,1,src/service/Api/TestScenarioExecute/index.ts,
POST,/rest/quality/a/:param/api/report/http/search,${scope(options.appId)}/http/search,${scope(options.appId)}/http/search,src/service/Api/TestScenarioReport/index.ts,79,1,src/service/Api/TestScenarioReport/index.ts,
POST,/rest/quality/a/:param/api/report/search,${scope(options.appId)}/search,${scope(options.appId)}/search,src/service/Api/TestScenarioReport/index.ts,62,2,src/service/Api/TestScenarioReport/index.ts src/service/Api/TimedTask/TimedTaskReportService.ts,
POST,/rest/quality/a/:param/api/report/task/search,${scope(options.appId)}/task/search,${scope(options.appId)}/task/search,src/service/Api/TimedTask/TimedTaskBatchReportService.ts,59,1,src/service/Api/TimedTask/TimedTaskBatchReportService.ts,
POST,/rest/quality/a/:param/api/scenario/:param,"${scope(options.appId)}/${expect === ""scenario"" ? ""changeToScenario"" : ""changeToStepSet""}","${scope(options.appId)}/${expect === ""scenario"" ? ""changeToScenario"" : ""changeToStepSet""}",src/service/Api/TestScenarioGroup/index.ts,125,1,src/service/Api/TestScenarioGroup/index.ts,
POST,/rest/quality/a/:param/api/scenario/:param/ref/ui,${scenarioScoped(appId)}/${scenarioId}/ref/ui,${scenarioScoped(appId)}/:scenarioId/ref/ui,src/service/Api/PlayWright/api.ts,13,1,src/service/Api/PlayWright/api.ts,
POST,/rest/quality/a/:param/api/scenario/:param/snapshot,${scope(option.appId)}/${option.scenarioId}/snapshot,${scope(option.appId)}/:option.scenarioId/snapshot,src/service/Api/TestScenario/snapshot.ts,30,1,src/service/Api/TestScenario/snapshot.ts,
POST,/rest/quality/a/:param/api/scenario/changeToScenarioCheck,${scope(options.appId)}/changeToScenarioCheck,${scope(options.appId)}/changeToScenarioCheck,src/service/Api/TestScenarioGroup/index.ts,135,1,src/service/Api/TestScenarioGroup/index.ts,
POST,/rest/quality/a/:param/api/scenario/copy,${scope(options.appId)}/api/scenario/copy,${scope(options.appId)}/api/scenario/copy,src/service/Api/TestScenario/index.ts,160,1,src/service/Api/TestScenario/index.ts,
