method,real_path,raw_pattern,definition,usage_count,usage_files
GET,/plugin/api/file/attachment/:param,${TEST_URL_PTRFIX}/api/file/attachment/${id},src/service/Api/TestScenarioExecute/index.ts:138,1,src/service/Api/TestScenarioExecute/index.ts
GET,/plugin/api/job/refresh,/plugin/api/job/refresh,src/service/Api/TimedTask/index.ts:77,1,src/service/Api/TimedTask/index.ts
GET,/plugin/api/log/download/id/:param,/plugin/api/log/download/id/${id},src/service/Api/Local/index.ts:189,1,src/service/Api/Local/index.ts
GET,/plugin/api/log/id/:param,${TEST_URL_API}/log/id/${state.id} | /plugin/api/log/id/${id},src/service/Api/TestScenarioExecute/index.ts:116 | src/service/Api/TestScenarioReport/index.ts:87,2,src/service/Api/TestScenarioExecute/index.ts | src/service/Api/TestScenarioReport/index.ts
GET,/plugin/api/log/list,/plugin/api/log/list,src/service/Api/TestScenarioExecute/index.ts:106,1,src/service/Api/TestScenarioExecute/index.ts
GET,/plugin/api/param,/plugin/api/param,src/service/Api/Local/index.ts:90,5,src/service/Api/Local/index.ts | src/service/Api/Setting/EnvVariablesService.ts | src/service/Api/Setting/PublicVariablesService.ts
GET,/plugin/api/refresh/all,/plugin/api/refresh/all,src/service/Api/Local/index.ts:135,1,src/service/Api/Local/index.ts
GET,/plugin/api/refresh/api,/plugin/api/refresh/api,src/service/Api/Local/index.ts:127,1,src/service/Api/Local/index.ts
GET,/plugin/api/report,/plugin/api/report,src/service/Api/TestScenarioExecute/index.ts:89,2,src/service/Api/TestScenarioExecute/index.ts
GET,/plugin/api/report/attachment,${TEST_URL_PTRFIX}/api/report/attachment?id=${id},src/service/Api/TestScenarioExecute/index.ts:129,1,src/service/Api/TestScenarioExecute/index.ts
GET,/plugin/api/setting,/plugin/api/setting,src/service/Api/Local/index.ts:26,3,src/service/Api/Local/index.ts | src/service/Api/Setting/PublicApiSettingService.ts
GET,/plugin/user,${TEST_URL_PTRFIX}/user,src/service/Api/User/index.ts:20,1,src/service/Api/User/index.ts
GET,/plugin/web/core/getAppId,${TEST_URL_PTRFIX}/web/core/getAppId,src/service/Api/Global/index.ts:55,1,src/service/Api/Global/index.ts
GET,/plugin/web/plugin/getInfo,${TEST_URL_PTRFIX}/web/plugin/getInfo,src/service/Api/plugin/index.ts:20,1,src/service/Api/plugin/index.ts
GET,/plugin/web/plugin/getThreadInfos,${TEST_URL_PTRFIX}/web/plugin/getThreadInfos | /plugin/web/plugin/getThreadInfos,src/service/Api/Local/index.ts:153 | src/service/Api/plugin/index.ts:24,3,src/service/Api/Local/index.ts | src/service/Api/plugin/index.ts | src/view/PageFooter/Main.vue
GET,/plugin/web/plugin/update,${TEST_URL_PTRFIX}/web/plugin/update | /plugin/web/plugin/update,src/service/Api/Local/index.ts:144 | src/service/Api/plugin/index.ts:28,3,src/service/Api/Local/index.ts | src/service/Api/plugin/index.ts | src/view/PageFooter/Main.vue
GET,/rest/account/account,/rest/account/account,src/service/Api/User/index.ts:39,3,src/service/Api/User/index.ts
GET,/rest/account/customMenu/type/:param/get,/rest/account/customMenu/type/${type}/get,src/service/Api/User/CustomMenuService.ts:23,1,src/service/Api/User/CustomMenuService.ts
GET,/rest/auth/appSecret/p/:param/getList,/rest/auth/appSecret/p/${pid}/getList,src/service/Api/Project/AppSecretService.ts:36,1,src/service/Api/Project/AppSecretService.ts
GET,/rest/global/dictionary/f/:param,/rest/global/dictionary/f/${encodeURIComponent(key)},src/service/Api/Dictionary/DictionaryCached.ts:37,1,src/service/Api/Dictionary/DictionaryCached.ts
GET,/rest/global/file/show/:param/false,${GLOBAL_URL}/file/show/${id}/false,src/service/Api/Global/index.ts:11,1,src/service/Api/Global/index.ts
GET,/rest/global/preference/clientCache/:param/:param,/rest/global/preference/clientCache/${encodeKey}/${project},src/service/Api/PrimaryService/PrimaryCached.ts:85,1,src/service/Api/PrimaryService/PrimaryCached.ts
GET,/rest/global/preference/clientCache/coopwire-root-url,${PREFERENCE_URL}/clientCache/coopwire-root-url,src/components/Api/ApiGroup/Component/ApiTable/Main.vue:53,3,src/components/Api/ApiGroup/Component/ApiTable/Main.vue | src/components/Api/ApiGroup/Component/SystemReport/share/main.vue | src/components/Api/Interface/Components/Index/Main.vue
GET,/rest/open/testwire/recorder/link,${OPEN_TESTWIRE_URL}/recorder/link,src/service/Api/Global/index.ts:68,1,src/service/Api/Global/index.ts
GET,/rest/platform/audit/company/transRelation/:param,/rest/platform/audit/company/transRelation/${id},src/components/AuditHistory/api.ts:30,1,src/components/AuditHistory/api.ts
GET,/rest/platform/audit/p/:param/transRelation/:param,/rest/platform/audit/p/${pid}/transRelation/${id},src/components/AuditHistory/api.ts:26,1,src/components/AuditHistory/api.ts
GET,/rest/platform/audit/transRelation/:param,/rest/platform/audit/transRelation/${id},src/components/AuditHistory/api.ts:22,1,src/components/AuditHistory/api.ts
GET,/rest/project/a/{appId}/application/canTestwireRun,${PROJECT_APP_URL(appId)}/application/canTestwireRun,src/service/Api/Global/index.ts:72,1,src/service/Api/Global/index.ts
GET,/rest/project/a/{appId}/application/get,${APPLICATION_URL(options.appId)}/get,src/service/Api/Application/index.ts:25,1,src/service/Api/Application/index.ts
GET,/rest/project/a/{appId}/releasePlan/selection,${PROJECT_APP_URL(props.appId)}/releasePlan/selection,src/components/Api/Edition/Edit/EditSelect.ts:128,1,src/components/Api/Edition/Edit/EditSelect.ts
GET,/rest/project/p/:param/project/getProject,/rest/project/p/${results.pid}/project/getProject,src/service/Api/Application/index.ts:27,1,src/service/Api/Application/index.ts
GET,/rest/quality/a/{appId}/api/edition,${scoped(options.appId)}/api/edition,src/service/Api/Edition/index.ts:49,2,src/service/Api/Edition/index.ts
GET,/rest/quality/a/{appId}/api/env/setting/allVariables,${ENV_URL(aid)}/allVariables,src/service/Api/Env/index.ts:61,1,src/service/Api/Env/index.ts
